"V1","V2","V3","V4","V5"
"7","2010","Athens, GA, USA","14","21"
"9","2010","Athens, GA, USA","13","17"
"7","2010","Athens, GA, USA","9","11"
"7","2010","Athens, GA, USA","12","16"
"3","2010","Athens, GA, USA","8","12"
"1","2010","Athens, GA, USA","7","12"
"-2","2010","Athens, GA, USA","6","14"
"0","2010","Athens, GA, USA","12","23"
"7","2010","Athens, GA, USA","16","24"
"4","2010","Athens, GA, USA","14","23"
"3","2010","Athens, GA, USA","13","23"
"6","2010","Athens, GA, USA","13","21"
"1","2010","Athens, GA, USA","11","20"
"1","2010","Athens, GA, USA","11","21"
"9","2010","Athens, GA, USA","12","15"
"12","2010","Athens, GA, USA","16","19"
"6","2010","Athens, GA, USA","11","16"
"1","2010","Athens, GA, USA","9","18"
"2","2010","Athens, GA, USA","10","18"
"2","2010","Athens, GA, USA","11","20"
"6","2010","Athens, GA, USA","14","22"
"10","2010","Athens, GA, USA","16","22"
"13","2010","Athens, GA, USA","18","24"
"12","2010","Athens, GA, USA","16","21"
"11","2010","Athens, GA, USA","16","21"
"4","2010","Athens, GA, USA","12","19"
"1","2010","Athens, GA, USA","7","13"
"1","2010","Athens, GA, USA","6","11"
"5","2010","Athens, GA, USA","7","9"
"7","2010","Athens, GA, USA","14","21"
"0","2010","Athens, GA, USA","5","10"
"-3","2010","Athens, GA, USA","4","12"
"-2","2010","Athens, GA, USA","7","14"
"1","2010","Athens, GA, USA","7","14"
"-1","2010","Athens, GA, USA","4","9"
"-3","2010","Athens, GA, USA","1","5"
"-6","2010","Athens, GA, USA","-1","4"
"-9","2010","Athens, GA, USA","-3","2"
"-8","2010","Athens, GA, USA","0","8"
"-4","2010","Athens, GA, USA","3","11"
"-2","2010","Athens, GA, USA","4","10"
"-4","2010","Athens, GA, USA","2","7"
"-8","2010","Athens, GA, USA","-4","-1"
"-10","2010","Athens, GA, USA","-4","2"
"-6","2010","Athens, GA, USA","-1","4"
"-1","2010","Athens, GA, USA","7","14"
"3","2010","Athens, GA, USA","8","13"
