"V1","V2","V3","V4","V5"
"20","2010","Knoxville, TN, USA","27","33"
"21","2010","Knoxville, TN, USA","28","34"
"20","2010","Knoxville, TN, USA","28","35"
"21","2010","Knoxville, TN, USA","29","37"
"22","2010","Knoxville, TN, USA","30","37"
"23","2010","Knoxville, TN, USA","28","33"
"22","2010","Knoxville, TN, USA","28","33"
"21","2010","Knoxville, TN, USA","28","34"
"22","2010","Knoxville, TN, USA","26","30"
"22","2010","Knoxville, TN, USA","27","32"
"23","2010","Knoxville, TN, USA","28","32"
"21","2010","Knoxville, TN, USA","28","34"
"23","2010","Knoxville, TN, USA","29","36"
"24","2010","Knoxville, TN, USA","28","31"
"23","2010","Knoxville, TN, USA","28","33"
"21","2010","Knoxville, TN, USA","27","32"
"21","2010","Knoxville, TN, USA","27","33"
"23","2010","Knoxville, TN, USA","28","33"
"23","2010","Knoxville, TN, USA","27","32"
"23","2010","Knoxville, TN, USA","29","34"
"24","2010","Knoxville, TN, USA","30","36"
"27","2010","Knoxville, TN, USA","31","36"
"24","2010","Knoxville, TN, USA","30","36"
"23","2010","Knoxville, TN, USA","28","33"
"24","2010","Knoxville, TN, USA","28","33"
"23","2010","Knoxville, TN, USA","28","32"
"23","2010","Knoxville, TN, USA","28","33"
"21","2010","Knoxville, TN, USA","25","29"
"24","2010","Knoxville, TN, USA","29","33"
"23","2010","Knoxville, TN, USA","28","33"
"24","2010","Knoxville, TN, USA","29","34"
"24","2010","Knoxville, TN, USA","30","35"
"24","2010","Knoxville, TN, USA","29","34"
"23","2010","Knoxville, TN, USA","27","31"
"21","2010","Knoxville, TN, USA","27","33"
"20","2010","Knoxville, TN, USA","27","34"
"22","2010","Knoxville, TN, USA","29","36"
"24","2010","Knoxville, TN, USA","30","36"
"24","2010","Knoxville, TN, USA","30","36"
"24","2010","Knoxville, TN, USA","29","34"
"23","2010","Knoxville, TN, USA","30","37"
"24","2010","Knoxville, TN, USA","29","34"
"24","2010","Knoxville, TN, USA","29","35"
"24","2010","Knoxville, TN, USA","28","32"
"23","2010","Knoxville, TN, USA","27","31"
"23","2010","Knoxville, TN, USA","28","34"
"23","2010","Knoxville, TN, USA","27","30"
"22","2010","Knoxville, TN, USA","27","33"
"22","2010","Knoxville, TN, USA","27","31"
"23","2010","Knoxville, TN, USA","28","32"
"21","2010","Knoxville, TN, USA","26","31"
"18","2010","Knoxville, TN, USA","24","31"
"18","2010","Knoxville, TN, USA","24","30"
"18","2010","Knoxville, TN, USA","25","32"
"18","2010","Knoxville, TN, USA","26","32"
"19","2010","Knoxville, TN, USA","26","33"
"19","2010","Knoxville, TN, USA","26","32"
"21","2010","Knoxville, TN, USA","27","32"
"18","2010","Knoxville, TN, USA","26","33"
"17","2010","Knoxville, TN, USA","26","34"
"17","2010","Knoxville, TN, USA","26","34"
"18","2010","Knoxville, TN, USA","26","33"
"14","2010","Knoxville, TN, USA","20","26"
"10","2010","Knoxville, TN, USA","19","28"
"12","2010","Knoxville, TN, USA","22","32"
"16","2010","Knoxville, TN, USA","25","34"
"21","2010","Knoxville, TN, USA","24","28"
"17","2010","Knoxville, TN, USA","22","27"
"19","2010","Knoxville, TN, USA","23","27"
"18","2010","Knoxville, TN, USA","24","31"
"16","2010","Knoxville, TN, USA","22","28"
"12","2010","Knoxville, TN, USA","21","29"
"14","2010","Knoxville, TN, USA","23","31"
"15","2010","Knoxville, TN, USA","24","32"
"19","2010","Knoxville, TN, USA","24","30"
"20","2010","Knoxville, TN, USA","25","30"
"16","2010","Knoxville, TN, USA","24","31"
"17","2010","Knoxville, TN, USA","24","32"
"18","2010","Knoxville, TN, USA","25","32"
"18","2010","Knoxville, TN, USA","26","34"
"21","2010","Knoxville, TN, USA","26","32"
"19","2010","Knoxville, TN, USA","26","32"
"19","2010","Knoxville, TN, USA","26","32"
"20","2010","Knoxville, TN, USA","23","27"
"18","2010","Knoxville, TN, USA","19","20"
"14","2010","Knoxville, TN, USA","17","18"
"13","2010","Knoxville, TN, USA","18","22"
"13","2010","Knoxville, TN, USA","19","26"
"15","2010","Knoxville, TN, USA","20","25"
"13","2010","Knoxville, TN, USA","18","23"
"10","2010","Knoxville, TN, USA","17","24"
"9","2010","Knoxville, TN, USA","12","14"
"7","2010","Knoxville, TN, USA","11","14"
"4","2010","Knoxville, TN, USA","12","19"
"4","2010","Knoxville, TN, USA","13","22"
"8","2010","Knoxville, TN, USA","18","27"
"10","2010","Knoxville, TN, USA","19","27"
"9","2010","Knoxville, TN, USA","18","27"
"8","2010","Knoxville, TN, USA","18","28"
"10","2010","Knoxville, TN, USA","19","29"
"11","2010","Knoxville, TN, USA","17","22"
"12","2010","Knoxville, TN, USA","18","24"
"8","2010","Knoxville, TN, USA","14","20"
